Egg.ID,Project.clutch.ID,Project.clutch.ID.x,Breeding.year,Analyses.breeding.habitat.type,Region.Country,Region.County,county,Region.central.longitude.coordinate,Region.central.latitude.coordinate,Clutch.size,Analyses.Clutch.Failure.Category,Incubation.type,Fertility,Hatching.outcome,Hatching.outcome.binomial,Analyses.Failed.egg.category,Embryo.stage,Ordinal.embryo.staging,Cooney.et.al.Phase.category
Headstart.egg.11,Headstart.Clutch.3,ECC_3.2022.11,2022,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.12,Headstart.Clutch.4,ECC_3.2022.12,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Fertile,Unhatched,0,Failed,Early (unable to properly stage),NA,Phase.1
Headstart.egg.13,Headstart.Clutch.4,ECC_3.2022.12,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Fertile,Unhatched,0,Failed,Early (unable to properly stage),NA,Phase.1
Headstart.egg.14,Headstart.Clutch.4,ECC_3.2022.12,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.15,Headstart.Clutch.4,ECC_3.2022.12,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.16,Headstart.Clutch.5,ECC_3.2022.13,2022,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.17,Headstart.Clutch.5,ECC_3.2022.13,2022,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.18,Headstart.Clutch.5,ECC_3.2022.13,2022,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.19,Headstart.Clutch.5,ECC_3.2022.13,2022,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.20,Headstart.Clutch.6,ECC_3.2022.14,2022,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,3,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.21,Headstart.Clutch.6,ECC_3.2022.14,2022,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,3,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.22,Headstart.Clutch.6,ECC_3.2022.14,2022,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,3,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.23,Headstart.Clutch.7,ECC_3.2022.15,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.24,Headstart.Clutch.7,ECC_3.2022.15,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.25,Headstart.Clutch.7,ECC_3.2022.15,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.26,Headstart.Clutch.7,ECC_3.2022.15,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.27,Headstart.Clutch.8,ECC_3.2022.2,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Damaged,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.28,Headstart.Clutch.8,ECC_3.2022.2,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Damaged,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.29,Headstart.Clutch.8,ECC_3.2022.2,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Damaged,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.30,Headstart.Clutch.9,ECC_3.2022.3,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Fertile,Unhatched,0,Failed,~27,27,Phase.2
Headstart.egg.31,Headstart.Clutch.9,ECC_3.2022.3,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.32,Headstart.Clutch.9,ECC_3.2022.3,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.33,Headstart.Clutch.9,ECC_3.2022.3,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.34,Headstart.Clutch.10,ECC_3.2022.4,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Fertile,Unhatched,0,Failed,~25,25,Phase.2
Headstart.egg.35,Headstart.Clutch.10,ECC_3.2022.4,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.36,Headstart.Clutch.10,ECC_3.2022.4,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.37,Headstart.Clutch.10,ECC_3.2022.4,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.38,Headstart.Clutch.11,ECC_3.2022.5,2022,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Damaged,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.39,Headstart.Clutch.11,ECC_3.2022.5,2022,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Damaged,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.40,Headstart.Clutch.11,ECC_3.2022.5,2022,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Damaged,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.41,Headstart.Clutch.12,ECC_3.2022.6,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Fertile,Unhatched,0,Failed,Up to stage 8,4.5,Phase.1
Headstart.egg.42,Headstart.Clutch.12,ECC_3.2022.6,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.43,Headstart.Clutch.12,ECC_3.2022.6,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.44,Headstart.Clutch.12,ECC_3.2022.6,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.45,Headstart.Clutch.13,ECC_3.2022.7,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.46,Headstart.Clutch.13,ECC_3.2022.7,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.47,Headstart.Clutch.13,ECC_3.2022.7,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.48,Headstart.Clutch.13,ECC_3.2022.7,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.49,Headstart.Clutch.14,ECC_3.2022.8,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.50,Headstart.Clutch.14,ECC_3.2022.8,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.51,Headstart.Clutch.14,ECC_3.2022.8,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.52,Headstart.Clutch.14,ECC_3.2022.8,2022,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.53,Headstart.Clutch.15,ECC_3.2022.9,2022,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Failed,Headstart,Fertile,Unhatched,0,Failed,40 (after re-staging checks),40,Phase.3
Headstart.egg.54,Headstart.Clutch.15,ECC_3.2022.9,2022,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.55,Headstart.Clutch.15,ECC_3.2022.9,2022,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.56,Headstart.Clutch.15,ECC_3.2022.9,2022,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.57,Headstart.Clutch.16,ECC_8.2022.MN1,2022,Grassland,Republic of Ireland,Monaghan,County Monaghan,-6.9418,54.1619,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.58,Headstart.Clutch.16,ECC_8.2022.MN1,2022,Grassland,Republic of Ireland,Monaghan,County Monaghan,-6.9418,54.1619,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.59,Headstart.Clutch.16,ECC_8.2022.MN1,2022,Grassland,Republic of Ireland,Monaghan,County Monaghan,-6.9418,54.1619,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.60,Headstart.Clutch.16,ECC_8.2022.MN1,2022,Grassland,Republic of Ireland,Monaghan,County Monaghan,-6.9418,54.1619,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.61,Headstart.Clutch.17,ECC_9.2022.A9,2022,Grassland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,Failed,Headstart,Unclear,Unhatched,0,Failed,Unknown (but likely early) - BUT UNCLEAR FERTILITY,NA,NA
Headstart.egg.62,Headstart.Clutch.17,ECC_9.2022.A9,2022,Grassland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,Failed,Headstart,Fertile,Unhatched,0,Failed,Unclear but possibly between 4-10 (given that I think I had a tiny little embryo with a red dot (blood?)),7,Phase.1
Headstart.egg.63,Headstart.Clutch.17,ECC_9.2022.A9,2022,Grassland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,Failed,Headstart,Fertile,Unhatched,0,Failed,NA,NA,NA
Headstart.egg.64,Headstart.Clutch.17,ECC_9.2022.A9,2022,Grassland,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.65,Headstart.Clutch.18,ECC_21.2023.1.Dartmoor,2023,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.66,Headstart.Clutch.18,ECC_21.2023.1.Dartmoor,2023,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.67,Headstart.Clutch.18,ECC_21.2023.1.Dartmoor,2023,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.68,Headstart.Clutch.18,ECC_21.2023.1.Dartmoor,2023,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.69,Headstart.Clutch.19,ECC_21.2023.1.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,Failed,Headstart,Fertile,Unhatched,0,Failed,~37,37,Phase.3
Headstart.egg.70,Headstart.Clutch.19,ECC_21.2023.1.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.71,Headstart.Clutch.19,ECC_21.2023.1.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.72,Headstart.Clutch.20,ECC_21.2023.10.Dartmoor,2023,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,Failed,Headstart,Fertile,Unhatched,0,Failed,<10,5.5,Phase.1
Headstart.egg.73,Headstart.Clutch.20,ECC_21.2023.10.Dartmoor,2023,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.74,Headstart.Clutch.20,ECC_21.2023.10.Dartmoor,2023,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.75,Headstart.Clutch.20,ECC_21.2023.10.Dartmoor,2023,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.76,Headstart.Clutch.21,ECC_21.2023.10.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.77,Headstart.Clutch.21,ECC_21.2023.10.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.78,Headstart.Clutch.21,ECC_21.2023.10.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.79,Headstart.Clutch.21,ECC_21.2023.10.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.80,Headstart.Clutch.22,ECC_21.2023.11.Dartmoor,2023,NA,England,NA,NA,NA,NA,3,Failed,Headstart,Fertile,Unhatched,0,Failed,<10,5.5,Phase.1
Headstart.egg.81,Headstart.Clutch.22,ECC_21.2023.11.Dartmoor,2023,NA,England,NA,NA,NA,NA,3,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.82,Headstart.Clutch.22,ECC_21.2023.11.Dartmoor,2023,NA,England,NA,NA,NA,NA,3,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.83,Headstart.Clutch.23,ECC_21.2023.11.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.84,Headstart.Clutch.23,ECC_21.2023.11.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.85,Headstart.Clutch.23,ECC_21.2023.11.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.86,Headstart.Clutch.24,ECC_21.2023.12.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.87,Headstart.Clutch.24,ECC_21.2023.12.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.88,Headstart.Clutch.24,ECC_21.2023.12.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.89,Headstart.Clutch.25,ECC_21.2023.2.Dartmoor,2023,Military,England,Cambridgeshire,['Cambridgeshire'],-0.2351,52.3497,3,Failed,Headstart,Fertile,Unhatched,0,Failed,<10,5.5,Phase.1
Headstart.egg.90,Headstart.Clutch.25,ECC_21.2023.2.Dartmoor,2023,Military,England,Cambridgeshire,['Cambridgeshire'],-0.2351,52.3497,3,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.91,Headstart.Clutch.25,ECC_21.2023.2.Dartmoor,2023,Military,England,Cambridgeshire,['Cambridgeshire'],-0.2351,52.3497,3,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.92,Headstart.Clutch.26,ECC_21.2023.2.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.93,Headstart.Clutch.26,ECC_21.2023.2.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.94,Headstart.Clutch.26,ECC_21.2023.2.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.95,Headstart.Clutch.27,ECC_21.2023.3.Dartmoor,2023,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.96,Headstart.Clutch.27,ECC_21.2023.3.Dartmoor,2023,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.97,Headstart.Clutch.27,ECC_21.2023.3.Dartmoor,2023,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.98,Headstart.Clutch.27,ECC_21.2023.3.Dartmoor,2023,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.99,Headstart.Clutch.28,ECC_21.2023.3.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.100,Headstart.Clutch.28,ECC_21.2023.3.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.101,Headstart.Clutch.28,ECC_21.2023.3.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.102,Headstart.Clutch.29,ECC_21.2023.4.Dartmoor,2023,Military,England,Lincolnshire,['Lincolnshire'],-0.2388,53.111,1,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.103,Headstart.Clutch.30,ECC_21.2023.4.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.104,Headstart.Clutch.30,ECC_21.2023.4.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.105,Headstart.Clutch.30,ECC_21.2023.4.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.106,Headstart.Clutch.30,ECC_21.2023.4.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.107,Headstart.Clutch.31,ECC_21.2023.5.Dartmoor,2023,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.108,Headstart.Clutch.31,ECC_21.2023.5.Dartmoor,2023,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.109,Headstart.Clutch.31,ECC_21.2023.5.Dartmoor,2023,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.110,Headstart.Clutch.31,ECC_21.2023.5.Dartmoor,2023,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.111,Headstart.Clutch.32,ECC_21.2023.5.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,Failed,Headstart,Fertile,Unhatched,0,Failed,23-25(?),24,Phase.1
Headstart.egg.112,Headstart.Clutch.32,ECC_21.2023.5.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.113,Headstart.Clutch.32,ECC_21.2023.5.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,3,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.114,Headstart.Clutch.33,ECC_21.2023.6.Dartmoor,2023,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.115,Headstart.Clutch.33,ECC_21.2023.6.Dartmoor,2023,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.116,Headstart.Clutch.33,ECC_21.2023.6.Dartmoor,2023,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.117,Headstart.Clutch.33,ECC_21.2023.6.Dartmoor,2023,Military,England,Norfolk,['Norfolk'],0.9647,52.6712,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.118,Headstart.Clutch.34,ECC_21.2023.6.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,2,Failed,Headstart,Fertile,Unhatched,0,Failed,~28,28,Phase.2
Headstart.egg.119,Headstart.Clutch.34,ECC_21.2023.6.Shropshire,2023,NA,England,Shropshire,['Shropshire'],-2.7367,52.6221,2,Failed,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
Headstart.egg.120,Headstart.Clutch.35,ECC_21.2023.7.Dartmoor,2023,Military,England,North Yorkshire,['North Yorkshire'],-1.5503,54.0937,4,Hatched,Headstart,Fertile,Hatched,1,Hatched,Hatched,46,Phase.4
